0,A
1,B
2,A
3,C
4,A
5,A
6,B
7,A
8,B
9,C
10,B
11,C
12,B
13,C
14,B
15,A
16,C
17,B
18,C
19,C
20,A
21,A
22,A
23,A
24,B
25,B
26,B
27,B
28,C
29,A
30,B
31,C
32,A
33,A
34,A
35,C
36,A
37,A
38,A
39,B
40,B
41,B
42,B
43,B
44,B
45,B
46,C
47,B
48,C
49,C
50,C
51,C
52,B
53,A
54,C
55,C
56,A
57,C
58,A
59,C
60,C
61,A
62,B
63,B
64,C
65,A
66,B
67,A
68,A
69,A
70,C
71,C
72,A
73,A
74,B
75,C
76,B
77,B
78,B
79,A
80,B
81,A
82,C
83,B
84,B
85,A
86,A
87,C
88,A
89,A
90,A
91,A
92,C
93,B
94,C
95,C
96,B
97,C
98,B
99,B
100,B
101,C
102,A
103,B
104,C
105,B
106,B
107,A
108,B
109,C
110,C
111,A
112,B
113,A
114,A
115,A
116,B
117,C
118,A
119,B
120,B
121,A
122,A
123,B
124,B
125,B
126,C
127,C
128,B
129,A
130,A
131,A
132,B
133,A
134,B
135,B
136,A
137,C
138,B
139,A
140,C
141,A
142,A
143,C
144,A
145,A
146,A
147,C
148,B
149,A
150,C
151,C
152,C
153,B
154,B
155,C
156,C
157,B
158,A
159,B
160,A
161,C
162,B
163,B
164,A
165,C
166,B
167,B
168,A
169,A
170,C
171,B
172,A
173,A
174,B
175,B
176,B
177,C
178,A
179,B
180,A
181,A
182,C
183,B
184,A
185,A
186,B
187,A
188,C
189,A
190,A
191,C
192,C
193,B
194,A
195,A
196,B
197,A
198,A
199,A
200,C
201,A
202,B
203,A
204,A
205,C
206,A
207,C
208,A
209,C
210,A
211,C
212,C
213,A
214,B
215,C
216,B
217,B
218,C
219,B
220,C
221,A
222,B
223,B
224,C
225,B
226,C
227,B
228,B
229,C
230,A
231,A
232,B
233,B
234,C
235,A
236,C
237,A
238,B
239,C
240,C
241,C
242,C
243,A
244,A
245,B
246,B
247,A
248,B
249,A
250,B
251,C
252,C
253,C
254,A
255,A
256,A
257,B
